Doctor ID,Doctor Name,Specialty,Phone Number,Years Of Experience,Hospital Affiliation,Hospital/Clinic,Specialization,Email
15996,Benjamin Navarro,Cardiology,001-648-618-8741x5941,10,"Rice, Rodriguez and Wells",Jackson-Patel,Orthopedics,flawrence@yahoo.com
29584,Bryce Malone,Pediatrics,105-783-8055x7087,32,Haney Ltd,Miller-Roberts,General Medicine,millerrichard@hotmail.com
83544,Mr. Benjamin Charles MD,General Medicine,001-792-041-8623x992,17,"Baxter, Carr and Terry","Henderson, Harper and Williams",Neurology,kspence@hotmail.com
22120,James Baldwin,Orthopedics,3173697938,17,Howard LLC,White-Singleton,Neurology,ipeterson@hotmail.com
37470,Brandon Young,Neurology,407-119-7862x26064,25,Jones Group,Hill and Sons,Orthopedics,gravesomar@hotmail.com
69257,Terry Martinez,Cardiology,5530634261,7,Adams-Burnett,"Watkins, Guerrero and Davidson",Pediatrics,richard21@yahoo.com
96559,John Payne,Neurology,093.757.4842,5,Fields-Simon,Johnson-King,General Medicine,rhodesjames@yahoo.com
93997,Julie Steele,Cardiology,416-284-0521,39,Olsen-Tran,"Taylor, Garrett and Nunez",Cardiology,desiree12@yahoo.com
57972,Angel Wright,General Medicine,+1-712-907-0107x1466,10,Davis-Walker,Baker-Davis,General Medicine,michelle54@weaver.biz
33879,Matthew Stewart,Cardiology,5761675870,12,"Fisher, Hines and Holt",Gomez-Clark,General Medicine,millerdaryl@yahoo.com
91480,Sheila Chandler,General Medicine,592-329-4893x843,37,Long Group,Morris LLC,Orthopedics,mooretimothy@johnson.com
79204,Steven King,Orthopedics,(835)870-1098,31,"Moss, Phillips and Griffith",Davis Ltd,General Medicine,james70@gmail.com
87947,Patty Miller,Orthopedics,707.832.1386,17,Tran-Smith,Patel-Jones,General Medicine,courtneytaylor@lester.com
32060,Valerie Welch,Pediatrics,8872461409,25,Wiggins-Wood,Willis-Decker,Orthopedics,christopher28@hotmail.com
79095,Brent Moore,Neurology,(288)563-9204,32,Koch-Ortega,"Ewing, Lane and Michael",Neurology,josephsutton@yahoo.com
85722,Lynn Hill,Neurology,9587995967,30,Martin-Lambert,Lee-Walters,Neurology,lauriesmith@mcbride.com
15252,Christina Winters,Orthopedics,001-855-839-4654x9795,1,Sims-Blevins,"Rivera, Armstrong and Sandoval",General Medicine,david84@yahoo.com
58674,Corey Hester,General Medicine,+1-078-993-2289x10551,4,Kaiser-Byrd,Jennings-Wall,Orthopedics,brianna00@mccoy.com
2614,Tonya Mathis,Neurology,(314)371-8046x0679,32,Gordon PLC,Smith Ltd,Neurology,taylorchristopher@green.com
4093,Shannon Watkins,Neurology,873.682.9035,33,"Dalton, Horton and Zhang",Odonnell and Sons,General Medicine,jhill@gmail.com
74977,Darlene Stewart,Pediatrics,7881634395,14,"Hopkins, Nelson and Mccormick","Dixon, Carter and Reyes",Pediatrics,jefferysnow@ray.com
24246,Cynthia Wallace,Cardiology,+1-024-453-5939,3,Sanchez-Hicks,"Davis, Edwards and Ward",Cardiology,barrcatherine@miller.com
92370,Jessica Coleman,General Medicine,(770)735-8267x819,15,Acosta and Sons,Gutierrez Group,Cardiology,melissaunderwood@thompson.com
78414,Dustin Fitzgerald,Neurology,+1-552-642-3717,19,"Spencer, Willis and Myers",Moreno PLC,Neurology,clloyd@hotmail.com
28458,Lisa Moreno,Cardiology,5628295370,31,Bishop Ltd,Wilkerson LLC,Neurology,jessica43@sandoval.biz
47108,Lori Bell,General Medicine,001-436-931-5546x4345,16,Garcia-Cox,Moore Group,Orthopedics,jacqueline04@hotmail.com
31706,Mary Edwards,Pediatrics,799.956.9005x0281,28,Bishop LLC,"Heath, Perez and Thomas",General Medicine,eboyd@sandoval.biz
27404,Nathan Norton,Cardiology,703-994-0420x900,33,Turner LLC,"Blair, Mendez and Snyder",Cardiology,sandranewman@gmail.com
73437,Kayla Hanson DDS,General Medicine,2984619967,24,Parks-Salazar,"Pitts, Martin and Willis",Cardiology,cohendavid@hotmail.com
86526,Vincent Sanchez,General Medicine,001-137-636-2362,39,Williams PLC,Bailey PLC,Orthopedics,sandrawalker@gmail.com
31135,Anne Anderson,Cardiology,001-717-258-9083x967,34,Chan-Turner,"Golden, Bruce and Dominguez",Pediatrics,vperez@sherman-kline.biz
97280,Kyle Harrison,General Medicine,4407799522,1,Johnson and Sons,Wells LLC,Orthopedics,ricky32@johnson.com
18642,Erin Hall,Orthopedics,515.944.5736,17,Downs Ltd,Rodriguez and Sons,Pediatrics,ldennis@yahoo.com
49115,Brian Young,Pediatrics,(820)540-0198x475,39,Larson-Love,Turner-Grant,Neurology,juliebuck@dixon.org
27591,Michelle Gordon,Neurology,980.846.5886x341,8,Craig-Ryan,"Matthews, Hester and Monroe",Pediatrics,hannahpotter@gmail.com
92323,Whitney Malone,Orthopedics,(202)031-1842,23,Neal-Cantrell,"Mitchell, Jones and Matthews",Neurology,dcraig@gutierrez-foster.com
51814,Joshua Hernandez,Pediatrics,001-795-627-1799,36,Mullins-Sandoval,Brown-Brown,General Medicine,marypugh@mays-meyer.net
26495,Caitlyn Nelson,Pediatrics,9728815397,12,"Green, Ortiz and Medina",Brown Ltd,Orthopedics,torresderek@yahoo.com
69815,Corey Brown,Neurology,467.657.4210,1,"Brown, Miller and Wang",Miller Group,General Medicine,sarah41@conner-gibson.com
29906,Terri Bond,Orthopedics,969.297.8666x21607,28,"Kline, Kim and Foster","Davis, Davis and Smith",Orthopedics,omartinez@reynolds.com
29218,Kathryn Kelley,General Medicine,357.178.0972x523,17,Brown PLC,"Frazier, Castaneda and Sharp",Neurology,cynthia31@williams.biz
43979,Jennifer Stewart,General Medicine,+1-165-055-9758x74635,12,Sanchez and Sons,"Morton, Ball and Walls",Cardiology,kfrench@hotmail.com
71022,David Fernandez,Neurology,(916)321-9745x3840,14,Casey PLC,Drake-Singh,Cardiology,vjohnson@gmail.com
25354,Mark Ward,Pediatrics,(938)053-2742x120,35,"Larson, Smith and Watson",Lee Inc,Pediatrics,aparks@morris.com
30264,Lisa Martinez,Orthopedics,2317323676,1,Beasley Inc,Miranda-Snyder,General Medicine,rochaadam@alexander.info
67045,Howard Moses,General Medicine,456.689.1219x93165,21,"Roberts, Stein and Riley",Lewis-Edwards,Neurology,perrykrista@gmail.com
94159,Joanna Estrada,Neurology,094-649-8601x389,30,"White, Levine and Carr",Holloway PLC,Orthopedics,larsonlarry@hotmail.com
84779,Isabel Smith,General Medicine,(607)388-4170x994,13,"Gillespie, Garrett and White","Cross, Lopez and Fisher",Neurology,pyoung@hotmail.com
32561,Gregory Alvarez,Orthopedics,367.660.4151,21,Kirby-Yang,"Perez, Baker and Rollins",Orthopedics,jayala@gmail.com
39810,Clayton West,Pediatrics,5234878330,1,Baker-Soto,"Walls, Meyer and Barrett",Pediatrics,qclark@steele.net
80778,Wayne Mills,Pediatrics,956.221.7437x636,2,Perez Group,"Jackson, Peterson and Powell",Neurology,gonzalezjohn@hotmail.com
88356,Jenny Bass,Pediatrics,+1-157-957-8172x281,35,"Davis, Clark and Gilbert","Carter, Arnold and Henderson",Orthopedics,washingtonstephanie@leach.org
39857,Mitchell Boone,Neurology,(011)318-6980x28095,7,Tucker-Arnold,Martinez and Sons,General Medicine,ofields@salazar-james.org
71081,Michaela Bridges,Cardiology,470-946-1833,37,"Melendez, Murphy and Allen",Carlson LLC,Pediatrics,amanda30@hotmail.com
49815,Amy Rose,Pediatrics,6540701651,39,"Watson, Scott and Hansen",Torres-Smith,Orthopedics,gsmith@gmail.com
85892,Elijah Morgan,Orthopedics,+1-320-283-5400x4018,23,Austin PLC,Graham Group,General Medicine,dpowell@lee-hansen.info
85976,Sarah Cochran,Cardiology,+1-456-344-7966x26027,7,Pena Inc,"Mcguire, Campos and Price",General Medicine,qlynch@gmail.com
21204,Sandra Gay,Neurology,001-660-356-0284x141,37,"Steele, Mendez and Leonard",Crawford-Long,General Medicine,charles76@gonzalez-wells.com
75959,Dr. Renee Oliver,General Medicine,788-572-5206x807,14,"Clark, Goodwin and Herrera",Bishop and Sons,Neurology,jonesmichael@harris.com
46648,Ana Shepherd,Pediatrics,001-544-454-0490,1,Cisneros Inc,Braun-Hansen,Neurology,melissa75@yahoo.com
8491,Kathryn Scott,Pediatrics,(373)506-3212,22,"Vega, Schmidt and Mason","Davis, Green and Clark",Pediatrics,orozcotammy@campbell.com
2210,Travis Gonzales,General Medicine,001-860-601-2712x0251,20,Mcdonald Group,"Miller, Smith and Gray",General Medicine,ruizjessica@gmail.com
10639,Melissa Gould,Pediatrics,845.389.9081x88419,30,"Scott, Moore and Rodriguez","Church, Barrett and Floyd",Orthopedics,williamsavage@pearson.com
53257,Jeffrey Ho Jr.,General Medicine,001-640-275-7914x0992,24,Lee-Wilkins,Phillips Inc,Orthopedics,ggordon@hodges.com
81045,Jessica Jarvis,General Medicine,001-341-393-8061x8386,9,Scott-Gentry,Roberts Group,Pediatrics,candace44@manning.info
26211,Ronald Padilla,Pediatrics,560.372.0357x75162,29,Bautista-Lane,Taylor-Oliver,Pediatrics,stephaniethompson@yahoo.com
96322,Amanda Carpenter,Pediatrics,+1-664-095-7606x05781,15,"Moody, Jones and Gonzalez","Garcia, Hughes and Cervantes",Orthopedics,bushsteven@hoffman.biz
83241,Diana Thomas,Cardiology,144-594-7342x73137,22,"Jenkins, Ellis and Fisher","Burnett, Watkins and Smith",General Medicine,mason53@gmail.com
16486,Timothy Tate,Neurology,953-378-6724x981,4,"Weber, Johnson and Shepard","Nelson, Contreras and Day",Orthopedics,brodriguez@gonzalez.com
95724,Lindsey Berg,General Medicine,592-364-5421x9405,8,Green-Thomas,Jarvis Ltd,Neurology,mwyatt@hotmail.com
12173,Kevin Mclean,General Medicine,702-281-3862x923,25,Rodriguez-Brown,"Mendoza, Johns and Mendoza",General Medicine,michaelrachael@hunt.com
59608,Kurt Thompson,Orthopedics,001-613-985-5057x997,21,"Bates, Hart and Vargas",Figueroa Inc,General Medicine,uwalker@gmail.com
66576,Ruth Mcdonald,Cardiology,001-813-329-0483x570,2,Warren-Miller,Vega LLC,Neurology,bbrown@hotmail.com
2266,Debra Perez,General Medicine,001-600-331-0981x6604,35,Morgan Group,Lee-Combs,Cardiology,don91@butler-hammond.com
84976,Zachary Beck,Pediatrics,414.945.0267,27,Travis PLC,"Taylor, Reynolds and Hall",Pediatrics,christinarussell@price-mcguire.com
51630,Kevin Owens,Cardiology,(109)246-4395,13,Simmons Ltd,Johnson Group,Orthopedics,brandysimon@yahoo.com
7093,Misty Sparks,Orthopedics,+1-196-807-2487x74439,30,Fitzpatrick-King,"Watson, Cooper and Phillips",Pediatrics,sandra22@perry-bell.com
3617,Jason Ramirez,General Medicine,663-652-3213x020,37,"Delgado, Burnett and Ross",Brown Inc,Orthopedics,fwelch@hotmail.com
83856,Christopher Brown,Orthopedics,001-985-357-2345x06747,7,Krause Inc,Anderson-Solis,Cardiology,rosstodd@gmail.com
69227,Martin Moore,Pediatrics,5334408399,16,"Porter, Gomez and Nunez","Merritt, King and Mendez",Orthopedics,yross@garcia.com
75619,Yvonne Odom,Orthopedics,580.351.0932,5,Williams Group,Houston-Ross,Pediatrics,michael06@brown.info
81419,George Spencer,Orthopedics,657-263-0443x95374,11,"Hansen, Crosby and Alvarez",Arroyo-Rich,Orthopedics,pnichols@pope.com
28442,Dave Brown,Neurology,001-963-467-0587x757,20,Sullivan-Decker,Terry Ltd,Pediatrics,bvaldez@bishop.biz
68966,Joshua York,Neurology,001-180-588-5836,30,Harvey PLC,Jacobs-Williamson,Pediatrics,fieldsstephanie@yahoo.com
83285,Antonio Rios,Cardiology,+1-742-081-9930x39225,9,Lloyd PLC,Gallegos Inc,Orthopedics,angelagonzalez@hardin-middleton.com
30419,Eric Browning,General Medicine,(718)642-2069x91500,33,Oliver Group,Walters-Taylor,Cardiology,patrickgregory@yahoo.com
55490,Jason Booth,Orthopedics,1717954086,24,"Reed, Calhoun and Dunn",Reilly LLC,General Medicine,cperkins@hotmail.com
84153,Ryan Shelton,Orthopedics,654.748.5338,23,"Hoover, White and Allen",Morales and Sons,Cardiology,fowlerbrent@burton-walker.biz
34948,Edward Jackson,Pediatrics,(579)727-8901x6806,26,"Forbes, Davis and Cox","King, George and Graham",Pediatrics,erikgarner@shaw-newman.com
3893,Sandra Jackson,Pediatrics,(247)440-7868x9876,22,Zamora-Black,"Carey, Ingram and Hudson",General Medicine,rwebb@rodriguez-smith.com
7343,Alexander Rivera,Cardiology,+1-849-033-3026,11,Arnold LLC,Villegas-Love,Orthopedics,lewisjonathan@wilson.com
31258,Lauren Mccormick,Orthopedics,956.318.6638,38,Chavez and Sons,"Bradley, Gardner and Jackson",Pediatrics,taylordaniel@cross-short.com
457,Garrett Kelley,General Medicine,325-660-2199,16,Bryant Group,Bauer-Maldonado,Cardiology,upoole@burke.org
54708,Michael Simon,Orthopedics,+1-133-876-3331,19,Clark-Moore,Obrien Ltd,General Medicine,langjason@hotmail.com
56091,Roy Barker,Neurology,4876412853,6,Velez Ltd,Johnson-Wagner,Cardiology,ronnieerickson@hotmail.com
24874,Cody Smith,Cardiology,(269)152-5721x71765,31,Murray Group,Knight Ltd,Pediatrics,ycummings@figueroa.com
53005,Jennifer Marshall,General Medicine,(310)507-4837,17,Phillips-Lee,Shaw and Sons,Neurology,dennis13@taylor-rodriguez.com
1674,Sandra Baker,Pediatrics,+1-560-263-7914x685,28,Torres PLC,"Williams, Beard and Evans",Pediatrics,scottmurphy@hotmail.com
47805,Debbie Clark,Cardiology,1152248859,20,Morales-Chen,"Lawson, Winters and Wilson",Neurology,houstoncindy@hotmail.com
31873,Dean Gaines,Cardiology,001-475-438-1906,14,Wade Ltd,"Morris, Cruz and Roberts",Neurology,lawsondavid@brown.com
30838,Kathryn Campbell,Pediatrics,+1-681-495-7027x83649,16,Johnson-Schultz,"Harris, Holden and Bennett",Neurology,david62@yahoo.com
55586,Shannon Maynard,Neurology,001-285-463-5789x7279,5,"Proctor, Pearson and Frost",Anderson and Sons,Neurology,grantbrenda@yahoo.com
40020,Sarah Baldwin,Orthopedics,624-619-9336x26058,21,Bruce and Sons,Lopez LLC,Neurology,josephforbes@hotmail.com
31034,Jimmy Rodriguez,Neurology,(206)923-4929,2,"Johnson, Barton and Garcia",Phelps and Sons,Neurology,markcarr@hotmail.com
49109,Benjamin Todd,Orthopedics,2142337728,36,Davis-Valentine,Rice-Hall,Orthopedics,dbass@yahoo.com
8305,Reginald Jackson Jr.,Cardiology,550-046-5451x5065,15,"Roman, Gonzales and Lynch",Phillips-Martin,Pediatrics,croberts@castillo.com
73878,Robert Myers,General Medicine,+1-613-622-0347,32,Hayden-Marsh,"Hansen, Kim and Bradley",Pediatrics,alexanderrichard@norton.biz
34502,Christine Gomez,Pediatrics,(224)499-5008,25,Chan Group,Rivas-Mcdowell,Orthopedics,zestes@daniels-smith.com
40984,Stephen Young,Cardiology,837-355-1312x755,23,Conner Ltd,"Holt, Green and Kelly",Pediatrics,williamsaaron@yahoo.com
67804,Lisa Bonilla,Cardiology,(366)639-9376x13849,31,Barker PLC,"Jackson, Clark and Rich",Pediatrics,bholloway@roberson.org
94793,Kevin George,Orthopedics,+1-333-280-6398x7900,1,Phillips and Sons,Rodriguez PLC,Orthopedics,jpatel@baldwin.info
51159,Stephanie Jordan,Neurology,922-893-8137,20,Davis-James,Summers LLC,General Medicine,chloe70@hotmail.com
86692,Veronica Abbott,Neurology,204-638-7856x90971,16,Martinez Inc,"Bell, Haas and Hampton",Neurology,brownrobert@ross-sanchez.info
53411,Jeremiah Lynch,Cardiology,690.894.0404x387,9,"Cook, Cooper and Schwartz",Travis-Montes,Orthopedics,hjackson@castillo-kaufman.net
72675,Derek Johnson,Orthopedics,019.661.2591x56896,17,Simpson-Crawford,Williams-Hart,Cardiology,estradadeborah@yahoo.com
79111,John Davis,Cardiology,096-131-7254,20,Mitchell-Montgomery,Singleton-Phillips,Cardiology,brenda74@page-barnes.biz
22913,Brian Perkins,Orthopedics,875.683.7107,20,"Simon, Fisher and Rodriguez",Turner-Hughes,Orthopedics,brenda16@jennings.com
30109,Benjamin Mitchell,General Medicine,(030)202-4008x1080,39,Kane Group,"Williams, Bruce and Gardner",Neurology,dpham@lindsey.com
77566,Paul Gardner,Orthopedics,(727)846-5427x53149,32,"Morgan, Miller and Middleton","Goodwin, Collier and Williams",Pediatrics,aaron14@molina-schwartz.com
11504,David Peck,Pediatrics,001-291-849-5930,20,"Gross, Myers and Wagner",Kidd-Johnson,Pediatrics,tbarnett@gmail.com
70785,Kaitlyn Savage,Orthopedics,(521)887-7269x439,24,Powers Ltd,"Erickson, English and Malone",Neurology,andrewcooper@hotmail.com
91553,Michael Shepard,Orthopedics,8506307483,3,Lewis-Ortega,Jennings-Chen,Cardiology,kathleen77@gmail.com
83715,Patrick Riley,Orthopedics,+1-625-220-9246x26394,38,Brown PLC,Henderson-Watts,Cardiology,vberg@hotmail.com
89518,Ellen Stevens,General Medicine,+1-725-963-5780x40055,29,Hayes-Scott,"Oconnell, Obrien and Patton",Orthopedics,pwells@gmail.com
54456,Michael Turner,Neurology,001-210-822-2220x585,37,Chan Group,Navarro and Sons,Cardiology,spencerscott@gmail.com
76341,Anthony Santana,Cardiology,7994756501,9,Joseph-Herrera,"Barnes, Mckee and Matthews",Cardiology,rodriguezdevin@logan.com
83609,John Castro,Neurology,136-279-3787x4558,18,Hughes-Taylor,"Walters, Benson and Gross",Cardiology,pthompson@krause.com
96922,Kenneth Clark,Neurology,541.905.7180x199,26,"Reilly, Marshall and Chen",Morales Group,Cardiology,lauratran@paul.com
8261,Kyle Watson,General Medicine,+1-381-896-1012x801,17,Morgan-Klein,"Price, Melton and Mathis",Pediatrics,ahampton@gmail.com
27022,Suzanne Snyder,Pediatrics,005-290-0503x85173,34,Williams-Daugherty,"Jackson, Wright and Hays",Orthopedics,wellsnicholas@rose.com
518,Eric Cooper,Cardiology,866.059.5691,10,"Marquez, Perry and Dixon",Adams Inc,Neurology,sotocharles@gmail.com
37958,Daniel Terry,Pediatrics,425-639-4294,8,Anderson Inc,"Lopez, Hamilton and Hall",Orthopedics,ccolon@gmail.com
90632,Jason Vargas,Orthopedics,001-858-035-8683x484,3,Kirby Group,"Moran, Lane and Arnold",Orthopedics,brookemassey@yahoo.com
31901,Stephanie Peterson,General Medicine,(868)654-8398x4979,30,Flores-Harris,"Campbell, Jones and Zavala",Orthopedics,gabrielthompson@hotmail.com
51807,Teresa Rogers,General Medicine,388-958-0842,29,Bradford Inc,Moyer Group,Neurology,christopher79@hotmail.com
36505,Robin White,Orthopedics,+1-601-618-1947x7688,29,Ruiz-French,"Hart, Robinson and Walton",Neurology,qhernandez@gmail.com
31664,Danielle Bradley,General Medicine,001-351-754-6142x028,15,"Wright, Spears and Leblanc",Oconnor LLC,Neurology,tfritz@gmail.com
29410,Regina Hughes,General Medicine,3417110526,17,"Miles, Newman and Young",Berg-Smith,Neurology,lisacross@diaz.com
26593,Alec Jones,Orthopedics,505.065.2662x5092,35,Evans-Weaver,Miller-Nguyen,General Medicine,ibond@jordan.biz
48127,Jacob Hansen,Neurology,855-135-4570x20169,6,Lopez-Greene,Glenn-Larson,Orthopedics,cpowell@yates.net
40909,Teresa Wilson,General Medicine,+1-653-489-0212x3197,11,"Ramirez, Campbell and Howe",Reid-Schaefer,Pediatrics,agoodwin@yahoo.com
75636,Emily Fisher,Orthopedics,0974664594,26,Kennedy-Brown,"Herring, Lambert and Small",General Medicine,maykirk@hotmail.com
36921,Brian Powell,Neurology,+1-580-302-9098x732,20,Walls Ltd,Torres PLC,Cardiology,fsmith@gmail.com
80215,Holly Austin,General Medicine,256-123-6751,31,Walker-Leon,Stevenson-Horton,Pediatrics,marcuscampos@richardson.net
96528,Gregory Howell,Pediatrics,734.511.9259x16575,16,Carpenter-Jackson,"James, Perez and Hodge",General Medicine,rosewilliam@gmail.com
15125,Anthony Gomez,Pediatrics,+1-103-496-6665x21215,13,Bauer-Pierce,"Rivera, Price and Combs",Cardiology,margaret78@aguilar.com
29568,Desiree Bruce,Pediatrics,809-717-0664x2446,7,Ramirez LLC,Russell-Reyes,Neurology,vgoodman@morris.info
54685,John Tanner,General Medicine,151-466-2689x474,26,Thompson and Sons,"Hamilton, Barber and Dixon",Cardiology,john20@hotmail.com
34358,Janice Donaldson,Pediatrics,001-668-458-0305x2486,1,"Griffith, Hunter and Jackson","Williams, Pearson and Cook",Pediatrics,jburke@davis-garcia.net
81689,Samuel Mcconnell,Neurology,001-483-515-9457,38,"Patterson, Buchanan and Bowers",Hill LLC,Neurology,dlopez@allen.com
45439,Clinton Bruce,General Medicine,(588)538-6328,16,Butler Group,"Stevens, Walton and Mendoza",General Medicine,burkegail@ward.com
24493,Sheila Ross,Orthopedics,(503)777-3973,4,"Simpson, Shaw and Humphrey","Peters, Mercado and Hale",General Medicine,danieldickerson@hotmail.com
37024,Michaela Tucker,Orthopedics,+1-672-916-6396x710,39,Williams and Sons,"Johnson, Guerrero and Mitchell",Pediatrics,carrillokaren@gonzalez.com
94362,Shannon Davis,General Medicine,+1-563-157-7530x06127,31,"Gray, Mejia and Blevins",Ferguson-Leon,Neurology,zhanson@gmail.com
13246,Desiree Hall,General Medicine,001-351-281-5227,28,Palmer-Hayes,"Johnson, Hale and Mccoy",Orthopedics,vgilmore@gmail.com
15085,Nicholas Patterson,Neurology,+1-606-326-4400x5336,26,Espinoza Ltd,Parker-Bailey,Cardiology,johnnyyates@gmail.com
98268,Stephanie Callahan,General Medicine,582-592-8737,8,"Schaefer, Morales and Odonnell",King-Robinson,General Medicine,wmay@gmail.com
51114,Amanda Mcdowell,Cardiology,+1-754-666-7354x7060,15,Brown LLC,Lynch Group,General Medicine,kelseyhamilton@yahoo.com
56293,Debra Kirby,Orthopedics,0806759154,29,Stewart Inc,"Carrillo, Johnson and Anderson",Cardiology,villarreallinda@anderson.net
1962,Mark Noble,Pediatrics,(702)743-4715,19,Nixon Inc,"Barnett, Alexander and Conley",Cardiology,megan94@yahoo.com
84048,Jamie Herrera,Pediatrics,2482435555,33,"Beasley, Baker and Rogers",Jones-Love,Neurology,vicki88@hotmail.com
98568,Allison Benitez,General Medicine,094.316.4305x314,35,Barton-Fox,Williams-Wallace,Pediatrics,mcfarlandrickey@martinez.net
8608,Laura Snow,General Medicine,(254)114-1495x39986,33,Morales-Morgan,Hawkins-Gallagher,Neurology,kvasquez@bryant.com
41828,William Kirk,Orthopedics,7764452423,12,Wheeler LLC,Bridges PLC,Neurology,ronaldmorris@gonzales-robbins.com
31964,Jessica Reynolds,Orthopedics,742.323.6539x98311,1,"Padilla, Murray and Adams",Brooks Ltd,Neurology,sharpralph@cummings-patel.com
7678,Scott Perez,Neurology,+1-390-845-3910x35080,35,Love and Sons,Fisher PLC,Pediatrics,davidsmith@hotmail.com
66085,Alexander Johnson,Cardiology,(963)874-8919,20,"Stevenson, Perry and Estrada","Montgomery, Dixon and Esparza",Neurology,rodriguezchristina@hotmail.com
22321,Samantha Hamilton,Pediatrics,+1-323-146-1362x402,28,Cisneros Ltd,"Barrett, Bradford and Hernandez",Neurology,garybrewer@gmail.com
76477,Thomas Weber,Neurology,001-275-657-0649x615,6,Mitchell-Simpson,Simpson Inc,General Medicine,erica61@hotmail.com
39224,Debra Mckee,Pediatrics,+1-009-087-6746x148,30,Fernandez PLC,Banks Inc,General Medicine,gloverjennifer@yahoo.com
95784,Jenna Graham,Pediatrics,001-534-720-1106x775,9,Lee-Foley,Schroeder and Sons,Orthopedics,catherinegaines@yahoo.com
97511,Christopher Drake,Pediatrics,782.946.3428x421,10,Pope-Jones,Woods PLC,Pediatrics,annalee@norris.net
5776,Joel Poole,General Medicine,+1-770-787-3224x2822,4,Campbell-Nelson,"Martinez, Wallace and Crane",Orthopedics,ramirezmichael@gmail.com
58338,Dr. Teresa Lopez,Neurology,(927)677-1272x4297,24,"Williamson, Jones and Stark",Schmitt and Sons,Neurology,yolanda86@gmail.com
41358,Robert Moore,Cardiology,398-933-3663x2935,1,Collins-Hicks,Williams-Turner,Neurology,jwalsh@gmail.com
47554,Kyle Cohen,Orthopedics,+1-876-373-5452x5724,10,"Carter, Raymond and Carpenter",Kirk-Kramer,Cardiology,qramirez@delgado-roy.com
95274,Natasha Phillips,Orthopedics,+1-586-228-8729x599,29,Smith Ltd,Barrera-Brown,Pediatrics,wendyedwards@watson-mcbride.com
93293,Mrs. Kara Stewart MD,Orthopedics,001-110-956-8917x4600,26,"Phillips, Oconnor and Mccormick",Thomas Group,Orthopedics,heather35@harrison.biz
28754,Thomas Humphrey,General Medicine,769-247-5091,38,"Nelson, Reid and Jennings",Ortiz-Ramirez,Cardiology,michele47@gmail.com
72753,Cynthia Johnson,Orthopedics,908.187.2095,33,Hernandez-Day,"Anthony, Stafford and King",Orthopedics,kingannette@yahoo.com
24714,Mr. Robert Ellison,General Medicine,509-844-8154x767,24,"Smith, Boyd and Beck",Davis-Graham,General Medicine,willie39@francis.biz
53730,Jane Adams,Neurology,(808)280-6462,21,Nichols-Flores,Johnston Ltd,Cardiology,dwayne87@holmes.com
77177,Melissa Schneider,Cardiology,7241792390,9,Wade LLC,"Hernandez, Nunez and Bates",Neurology,fryepaul@pearson.com
89140,Tyler Hickman,Neurology,001-011-644-0559x322,1,Evans-Ramos,Hernandez and Sons,Cardiology,whitney84@gonzalez.com
37671,Kristie Singleton,Orthopedics,042-910-5684x125,8,"Henderson, Bryant and Lang",Phillips PLC,Neurology,dcrawford@lewis.info
26772,Eric Hart,General Medicine,074-142-8320,30,"Terry, Hansen and Davis",Malone-Johnson,Neurology,tiffany58@gmail.com
75916,Pamela Alvarado,General Medicine,485-084-9671x3655,39,Graves-Williams,"Davis, Sullivan and Nelson",Orthopedics,andrew87@jackson.org
74904,Mark Fitzgerald,Orthopedics,(951)085-4173,5,Phillips and Sons,"Cortez, Cannon and Byrd",Cardiology,donnasmith@gmail.com
2763,Kevin Thomas,Neurology,+1-402-767-5166x418,38,Hansen-Moss,"Kelly, Vargas and Brooks",Orthopedics,nicoleburgess@hotmail.com
88570,Jennifer Santiago,Neurology,656.554.8586x815,5,"Brown, Watts and Williams",Simpson Inc,Cardiology,houstondavid@miller-harris.com
34680,Kevin White,Orthopedics,(802)950-8469,33,"Hickman, Simmons and Mcdowell",Mendez-Oconnor,Cardiology,brandtjohn@hotmail.com
5470,Natalie Johnson,Neurology,(301)740-9167x35979,22,Gardner-Smith,Griffin-Mitchell,Pediatrics,stephanie28@yahoo.com
55685,James Henderson,Orthopedics,(968)324-4121,26,"Bonilla, Moreno and Gibson","Garcia, Thomas and Rowland",Orthopedics,arodriguez@moyer.com
6860,Alan Kim,Orthopedics,049.478.8794x44464,36,Burns-Evans,Powell-Moreno,General Medicine,wilsonsheila@jennings.com
92625,Christopher Ballard,General Medicine,6164757084,31,Larsen Group,Hall LLC,Cardiology,dcobb@nicholson-young.com
71722,Dr. Terri Robinson DVM,Orthopedics,001-261-543-9808x8080,34,Bush-Harvey,Hill-Jackson,Pediatrics,edwardhenderson@becker.info
86930,Samuel Lewis,Neurology,+1-350-995-0959x7520,36,Curtis Group,Ferguson-Hanson,Neurology,butlerashley@stewart-haynes.com
71604,Erin Blackwell,Orthopedics,(280)452-6594x3206,1,"Hines, Ruiz and Abbott",Hopkins-Michael,Pediatrics,davisjames@roberts.com
42189,Ivan Pollard,General Medicine,674.089.4333,25,Adams-Evans,"Hall, Martinez and Ayala",Neurology,johnpowers@gmail.com
78463,Erica Gray MD,Neurology,+1-889-179-4000x7737,9,"Hampton, Archer and Johnston",Stafford-Cabrera,Neurology,robert19@green-sloan.com
26388,Courtney Hood,General Medicine,001-830-632-7504x90661,19,Armstrong-Chaney,Liu-Maynard,Orthopedics,bryantdebbie@brown-jackson.com
